"intent","text"
"Reset_Or_Forgot_Password","Forgot starhub password"
"Reset_Or_Forgot_Password","Help me to reset my pwd"
"Reset_Or_Forgot_Password","I  want tp retrieval of my hub id"
"Reset_Or_Forgot_Password","I am unable to change password"
"Reset_Or_Forgot_Password","I am unable to reset my password"
"Reset_Or_Forgot_Password","I can t find my password"
"Reset_Or_Forgot_Password","I can t login because I forgot password"
"Reset_Or_Forgot_Password","I can t seem to remember my password"
"Reset_Or_Forgot_Password","I cannot find my password"
"Reset_Or_Forgot_Password","I cannot login because I forgot my password"
"Reset_Or_Forgot_Password","I cannot remember my account password"
"Reset_Or_Forgot_Password","I cannot remember my password"
"Reset_Or_Forgot_Password","I cannot reset account password"
"Reset_Or_Forgot_Password","I choose forgot my password"
"Reset_Or_Forgot_Password","I couldn t recall my password"
"Reset_Or_Forgot_Password","I don’t know my password"
"Reset_Or_Forgot_Password","I don’t remember pwd"
"Reset_Or_Forgot_Password","I forget my password please help me reset password"
"Reset_Or_Forgot_Password","I forgot my account password"
"Reset_Or_Forgot_Password","I forgot my password"
"Reset_Or_Forgot_Password","I forgot my password. Resend me"
"Reset_Or_Forgot_Password","I forgot pw"
"Reset_Or_Forgot_Password","I had forgotten my password to log into my account"
"Reset_Or_Forgot_Password","I have forgotten my starhub password"
"Reset_Or_Forgot_Password","I have problem to reset pwd"
"Reset_Or_Forgot_Password","I have problems reset password"
"Reset_Or_Forgot_Password","I have some issues with my password"
"Reset_Or_Forgot_Password","I lost pw"
"Reset_Or_Forgot_Password","I lost pwd, please help me"
"Reset_Or_Forgot_Password","I need new password"
"Reset_Or_Forgot_Password","I need to recover password"
"Reset_Or_Forgot_Password","I need to reset password"
"Reset_Or_Forgot_Password","I need to reset pwd"
"Reset_Or_Forgot_Password","I want to change my password"
"Reset_Or_Forgot_Password","I want to change pwd"
"Reset_Or_Forgot_Password","I want to recover my  pwd"
"Reset_Or_Forgot_Password","I want to recover my passsword"
"Reset_Or_Forgot_Password","I want to reset my pwd"
"Reset_Or_Forgot_Password","I would like to recovery my pwd"
"Reset_Or_Forgot_Password","I would like to reset my password"
"Reset_Or_Forgot_Password","I would like to reset pwd"
"Reset_Or_Forgot_Password","Issue me a new password"
"Reset_Or_Forgot_Password","Need help resetting password"
"Reset_Or_Forgot_Password","Reset my password"
"Reset_Or_Forgot_Password","Reset my password for me"
"Reset_Or_Forgot_Password","Retrieve my password for me"
"Reset_Or_Forgot_Password","Send me new password"
"Reset_Or_Forgot_Password","assist me to reset password"
"Reset_Or_Forgot_Password","can t find pw"
"Reset_Or_Forgot_Password","can you help me recover my password"
"Reset_Or_Forgot_Password","can you help me reset my password"
"Reset_Or_Forgot_Password","can you kindly help me reset it or send my password."
"Reset_Or_Forgot_Password","can you send me a new password."
"Reset_Or_Forgot_Password","cannot change my password"
"Reset_Or_Forgot_Password","forgot password for my acoount"
"Reset_Or_Forgot_Password","get my pwd back please"
"Reset_Or_Forgot_Password","help me recover my pwd for hub ID"
"Reset_Or_Forgot_Password","help me remember my account password"
"Reset_Or_Forgot_Password","help me retrieve my password"
"Reset_Or_Forgot_Password","help me to reset pwd"
"Reset_Or_Forgot_Password","how I can recover my pwd for hub ID"
"Reset_Or_Forgot_Password","how to change my password"
"Reset_Or_Forgot_Password","how to reset my password"
"Reset_Or_Forgot_Password","i forgot password.please get back to me"
"Reset_Or_Forgot_Password","may i know how do i reset my hub id password?"
"Reset_Or_Forgot_Password","my password is wrong"
"Reset_Or_Forgot_Password","need my password back"
"Reset_Or_Forgot_Password","need my pw back"
"Reset_Or_Forgot_Password","need my pw back"
"Reset_Or_Forgot_Password","need my pwd back"
"Reset_Or_Forgot_Password","please assist as i  ve forgotten my hub password"
"Reset_Or_Forgot_Password","please help me retake my password"
"Reset_Or_Forgot_Password","please help me retrieve my pwd"
"Reset_Or_Forgot_Password","please send me a new password"
"Reset_Or_Forgot_Password","please send me my password"
"Reset_Or_Forgot_Password","pls assist me recovery of my password for hub ID"
"Reset_Or_Forgot_Password","provide me my pwd"
"Reset_Or_Forgot_Password","recover my password"
"Reset_Or_Forgot_Password","recover pw"
"Reset_Or_Forgot_Password","request for password reset"
"Reset_Or_Forgot_Password","request new password"
"Reset_Or_Forgot_Password","request to reset hub id account"
"Reset_Or_Forgot_Password","reset for hub id password"
"Reset_Or_Forgot_Password","reset pw"
"Reset_Or_Forgot_Password","send me new pwd please"
"Reset_Or_Forgot_Password","unable to log in with new password"
"Reset_Or_Forgot_Password","what is my password"
"Reset_Or_Forgot_Password","what is my pwd?"
"Reset_Or_Forgot_Password","you can assist me to retrieve my password"
"Reset_Or_Forgot_Password","you can assist me to retrieve my pwd"
"Reset_Or_Forgot_Password","you can recover password for me"
"Thanks","Cheers"
"Thanks","I am very thankful that you are considering my problem"
"Thanks","I found in junk email"
"Thanks","I mean Thank you"
"Thanks","I really appreciate your help"
"Thanks","I received new pwd. Thank a lot.Good  bye"
"Thanks","I said Thank you"
"Thanks","I was so pleased to hear from you"
"Thanks","It is Ok, I  ve been login to starhub portal already,thanks"
"Thanks","It means Thank you"
"Thanks","Many thanks"
"Thanks","Many thanks fro your email"
"Thanks","Many thanks. I get new password"
"Thanks","Sincerely thanks"
"Thanks","Thank a lot, I received your email"
"Thanks","Thank you"
"Thanks","Thank you for all your assistance"
"Thanks","Thank you for everything you  ve done"
"Thanks","Thank you for spending time with me"
"Thanks","Thank you for the information"
"Thanks","Thank you for your prompt reply"
"Thanks","Thank you so much"
"Thanks","Thank you so much for helping"
"Thanks","Thank you so much. I check emal later.by"
"Thanks","Thank you so much. I discovered in spam emal"
"Thanks","Thank you very much"
"Thanks","Thank you, without you support, I wouldn t have been able to reset password"
"Thanks","Thank you. I got new email"
"Thanks","Thank you. I received your email"
"Thanks","Thank you. It is all"
"Thanks","Thanks"
"Thanks","Thanks a lot"
"Thanks","Thanks for helping"
"Thanks","Thanks for talking to me"
"Thanks","Thanks for your help and good bye"
"Thanks","Thanks for your remind"
"Thanks","Thanks, I discovered in junk mail"
"Thanks","Thanks, I received new password"
"Thanks","Thanks, I will check later.bye"
"Thanks","Thanks. It is ok"
"Thanks","That is great. Cheers"
"Thanks","That s very kind of you"
"Thanks","Tks and bye"
"Thanks","Tks and good bye"
"Thanks","Tks for your support"
"Thanks","it is all, thanks for help"
"Thanks","no need, I will check your email later.thanks"
"Thanks","thank u"
"Thanks","thanks, I found in spam email"
"Thanks","tks"
"Thanks","tks for your assistance"
"Thanks","tks, I found in trash folder"
